id	categories	canonical	display	expected	target	status	path_id
3D Glasses	Cosmetics,Equips	3D Glasses	3DGlasses	3D眼镜	3D眼镜	covered	83818
Abomination	Monsters	Abomination	Abomination	憎恶	憎恶	covered	85661
Abomination	Monsters	Abomination	Abomination Card	憎恶卡片	憎恶卡片	covered	82453
Abyss Shard	Cosmetics,Equips	Abyss Shard	Abyss Shard	深渊碎片	深渊碎片	covered	83995
Acolyte	Archetypes,Artifacts	Acolyte | Holy Vow	Acolyte	侍祭	侍祭	covered	82377
Acolyte	Archetypes,Artifacts	Acolyte | Holy Vow	Holy Vow	神圣誓言	神圣誓言	covered	82408
Acolyte_1	Cosmetics,Equips,SkillPassives	Scripture of Mercy	Scripture of Mercy	慈悲经文	慈悲经文	covered	84596
Acolyte_2	Cosmetics,Equips,SkillPassives	Radiant Strikes	Radiant Strikes	光辉打击	光辉打击	covered	84597
Acolyte_3	Cosmetics,Equips,SkillPassives	Radiant Judgment	Radiant Judgment	光辉裁决	光辉裁决	covered	84598
Acolyte_4	Cosmetics,Equips,SkillPassives	Gospel of Grace	Gospel of Grace	恩典福音	恩典福音	covered	84599
Acolyte_5	Cosmetics,Equips,SkillPassives	Lightweaver	Lightweaver	光织者	光织者	covered	84600
Acolyte_6	Cosmetics,Equips,SkillPassives	Sacred Rhythm	Sacred Rhythm	圣洁律动	圣洁律动	covered	84601
Acorn	Junks	Acorn	Acorn	橡子	橡子	covered	84309
Acorn Rotten	Junks	Rotten Acorn	Acorn Rotten	腐烂的橡子	腐烂的橡子	covered	84308
Aegis	Skills,Statuses	Aegis | Aegis of Light	Aegis	圣盾	圣盾	covered	85474
Aegis	Skills,Statuses	Aegis | Aegis of Light	Aegis of Light	光之圣盾	光之圣盾	covered	85195
AerialShot	Skills	Aerial Shot	Aerial Shot	空中射击	空中射击	covered	85196
AerialShot Gem	Gems	Aerial Shot Gem	Aerial Shot Gem	空中射击宝石	空中射击宝石	covered	84179
Aggressive	Statuses	Aggressive	Aggressive	仇恨锁定	仇恨锁定	covered	85475
Agility	Skills,Statuses	Inner Focus	Inner Focus	心神专注	心神专注	covered	85197
Alacrity	Statuses	Alacrity	Alacrity	迅捷	迅捷	covered	85477
Alien Big Blink	Monsters	Cosmic Entity	Alien Big Blink	宇宙实体	宇宙实体	covered	85662
Alien Big Blink	Monsters	Cosmic Entity	Cosmic Entity	宇宙实体	宇宙实体	covered	84810
Alien Big Blink	Monsters	Cosmic Entity	Cosmic Entity Card	宇宙实体卡片	宇宙实体卡片	covered	82454
Alien Biteroot	Monsters	Chomproot	Chomproot	噬根	噬根	covered	84811
Alien Biteroot	Monsters	Chomproot	Chomproot Card	噬根卡片	噬根卡片	covered	82455
Alien Cyclops	Cosmetics,Monsters	Moonspawn Pet | Voidspawn	Voidspawn	虚空孳生体	虚空孳生体	covered	84812
Alien Cyclops	Cosmetics,Monsters	Moonspawn Pet | Voidspawn	Voidspawn Card	虚空孳生体卡片	虚空孳生体卡片	covered	82456
Alien Cyclops	Cosmetics,Monsters	Moonspawn Pet | Voidspawn	Voidspawn Pet	月裔宠物	月裔宠物	covered	83264
Alien Galaxia	Monsters	Galaxian Brute	Galaxian Brute	银河蛮兵	银河蛮兵	covered	84813
Alien Galaxia	Monsters	Galaxian Brute	Galaxian Brute Card	银河蛮兵卡片	银河蛮兵卡片	covered	82457
Alien One Eye	Monsters	Voidgazer	Voidgazer	虚空凝视者	虚空凝视者	covered	84814
Alien One Eye	Monsters	Voidgazer	Voidgazer Card	虚空凝视者卡片	虚空凝视者卡片	covered	82458
Alien Pew Pew	Monsters	Galaxian Blaster	Galaxian Blaster	银河爆破手	银河爆破手	covered	84815
Alien Pew Pew	Monsters	Galaxian Blaster	Galaxian Blaster Card	银河爆破手卡片	银河爆破手卡片	covered	82459
Alien Plant	Monsters	Chompbloom	Chompbloom	噬花	噬花	covered	84816
Alien Plant	Monsters	Chompbloom	Chompbloom Card	噬花卡片	噬花卡片	covered	82460
Alien Skye	Monsters	Galaxian Skimmer	Galaxian Skimmer	银河掠行者	银河掠行者	covered	84817
Alien Skye	Monsters	Galaxian Skimmer	Galaxian Skimmer Card	银河掠行者卡片	银河掠行者卡片	covered	82461
Alien Spike	Monsters	Cinderspike	Cinderspike	灰烬尖刺	灰烬尖刺	covered	84818
Alien Spike	Monsters	Cinderspike	Cinderspike Card	灰烬尖刺卡片	灰烬尖刺卡片	covered	82462
Alien Sporella	Cosmetics,Monsters	Chompcap | Sporeling Pet	Chompcap	噬帽菌	噬帽菌	covered	84819
Alien Sporella	Cosmetics,Monsters	Chompcap | Sporeling Pet	Chompcap Card	噬帽菌卡片	噬帽菌卡片	covered	82463
Alien Sporella	Cosmetics,Monsters	Chompcap | Sporeling Pet	Chompcap Pet	孢子宠物	孢子宠物	covered	83265
Alien Star	Cosmetics,Monsters	Little Star | Starlet Pet	Little Star	小星星	小星星	covered	84820
Alien Star	Cosmetics,Monsters	Little Star | Starlet Pet	Little Star Card	小星星卡片	小星星卡片	covered	82464
Alien Star	Cosmetics,Monsters	Little Star | Starlet Pet	Little Star Pet	小星星宠物	小星星宠物	covered	83266
Alien Starry	Monsters	Starry	Starry	星辉	星辉	covered	84821
Alien Starry	Monsters	Starry	Starry Card	星辉卡片	星辉卡片	covered	82465
Alien Twinkle	Monsters	Twinkle	Twinkle	闪烁	闪烁	covered	84822
Alien Twinkle	Monsters	Twinkle	Twinkle Card	闪烁卡片	闪烁卡片	covered	82466
Alien Wheel	Cosmetics,Monsters	Blazewheel Pet | Cinderwheel	Cinderwheel	灰烬轮	灰烬轮	covered	84823
Alien Wheel	Cosmetics,Monsters	Blazewheel Pet | Cinderwheel	Cinderwheel Card	灰烬轮卡片	灰烬轮卡片	covered	82467
Alien Wheel	Cosmetics,Monsters	Blazewheel Pet | Cinderwheel	Cinderwheel Pet	烈焰轮宠物	烈焰轮宠物	covered	83267
Alien Wreck	Monsters	Cindermaw	Cindermaw	灰烬巨口	灰烬巨口	covered	84824
Alien Wreck	Monsters	Cindermaw	Cindermaw Card	灰烬巨口卡片	灰烬巨口卡片	covered	82468
Alligator Gaa	Junks	Alligator Gar	Alligator Gaa	鳄鱼雀鳝	鳄鱼雀鳝	covered	84310
Amber Bow	Cosmetics,Equips	Amber Bow	Amber Bow	琥珀弓	琥珀弓	covered	83489
Amber Loop	Cosmetics,Equips	Amber Loop	Amber Loop	琥珀环	琥珀环	covered	83490
Amberstone	Junks	Amberstone	Amberstone	琥珀石	琥珀石	covered	84312
Amberstone Piece	Junks	Amberstone Piece	Amberstone Piece	琥珀石碎片	琥珀石碎片	covered	84311
