id	canonical	display	target	status
Aegis	Aegis of Light	Aegis of Light	光之圣盾	covered
AerialShot	Aerial Shot	Aerial Shot	空中射击	covered
Agility	Inner Focus	Inner Focus	心神专注	covered
AngelicBlessing	Angelic Blessing	Angelic Blessing	天使恩典	covered
ArcaneSigil	Arcane Sigil	Arcane Sigil	奥术印记	covered
Armored	Armored	Armored	护甲强化	covered
ArrowShower	Arrow Shower	Arrow Shower	箭雨	covered
AutoAttack	Auto Attack	Auto Attack	普通攻击	covered
AxeArc	Twin Cleave	Twin Cleave	双重劈砍	covered
AxeThrow	Axe Throw	Axe Throw	飞斧	covered
AxeVortex	Vortex Slash	Vortex Slash	旋风斩	covered
Barrier	Sacred Aegis	Sacred Aegis	神圣庇护	covered
Bash	Bash	Bash	猛击	covered
Berserk	Berserk	Berserk	狂暴	covered
BladeDance	Blade Dance	Blade Dance	刃舞	covered
BleedCoating	Red Maw	Red Maw	猩红巨口	covered
Blessing	Benediction	Benediction	祈福	covered
Blink	Blink	Blink	闪现	covered
BloodCrash	Blood Crash	Blood Crash	血涌	covered
BloodFrenzy	Blood Frenzy	Blood Frenzy	鲜血狂乱	covered
BloodLust	Blood Lust	Blood Lust	嗜血	covered
BoneSpear	Bone Spear	Bone Spear	骨矛	covered
BoneSpikes	Bone Spikes	Bone Spikes	骨刺	covered
Bonk	Bonk!	Bonk!	猛敲！	covered
ChainLightning	Chain Lightning	Chain Lightning	连锁闪电	covered
Cloaking	Cloaking	Cloaking	隐匿	covered
Combustion	Combustion	Combustion	燃爆	covered
Conjurer	Conjurer	Conjurer	唤灵师	covered
ConsecratedGround	Consecrated Ground	Consecrated Ground	祝圣之地	covered
Consecration	Consecration	Consecration	奉献	covered
Conviction	Conviction Aura	Conviction Aura	信念光环	covered
CorpseBarrier	Corpse Barrier	Corpse Barrier	尸体屏障	covered
CorpseExplosion	Corpse Explosion	Corpse Explosion	尸体爆炸	covered
CorpseExplosionEnemy	Corpse Explosion (Enemy)	Corpse Explosion	尸体爆炸	covered
CorpseExplosionSummon	Corpse Explosion (Summon)	Corpse Explosion	尸体爆炸	covered
Counter	Counter Stance	Counter Stance	反击姿态	covered
CounterSlash	Counter Slash	Counter Slash	反击斩	covered
CrimsonFrenzy	Crimson Frenzy	Crimson Frenzy	绯红狂乱	covered
CrushingAdvance	Crushing Advance	Crushing Advance	碾压进击	covered
Cure	Cure	Cure	净化	covered
CureAll	Mass Cure	Mass Cure	群体净化	covered
Cyclone	Cyclone	Cyclone	旋风	covered
Damnation	Damnation	Damnation	天谴	covered
Dark Exorcism	Dark Exorcism	Dark Exorcism	暗影驱邪	covered
DarkClaw	Dark Claw	Dark Claw	暗影之爪	covered
DeathBond	Death Bond	Death Bond	死亡羁绊	covered
DeathBramble	Necrotic Presence	Necrotic Presence	死灵气场	covered
DeathBrambleEnemy	Necrotic Presence (Enemy)	Necrotic Presence Enemy	死灵气场（敌方）	covered
DeathCoil	Death Coil	Death Coil	死亡缠绕	covered
DeathCoilEnemy	Death Coil (Enemy)	Death Coil	死亡缠绕	covered
DeathCoilSummon	Death Coil (Summon)	Death Coil	死亡缠绕	covered
DeathNova	Death Nova	Death Nova	死亡新星	covered
DeathNovaField	Death Nova Field	Death Nova Field	死亡新星力场	covered
DeathSpiral	Death Spiral	Death Spiral	死亡螺旋	covered
DecayAura	Decay Aura	Decay Aura	腐朽光环	covered
Defiance	Defiance Aura	Defiance Aura	抗御光环	covered
Deflect	Deflect	Deflect	偏转	covered
Dispell	Absolution	Absolution	赦免	covered
DivinePunishment	Divine Punishment	Divine Punishment	神罚	covered
Divinity	Divinity	Divinity	神性	covered
EarthBarrier	Avatar of Stone	Avatar of Stone	岩石化身	covered
Earthbolt	Earthbolt	Earthbolt	大地飞弹	covered
Earthquake	Earthquake	Earthquake	地震	covered
EarthSpikes	Earth Spikes	Earth Spikes	大地尖刺	covered
EarthWall	Earth Wall	Earth Wall	岩壁	covered
EclipsingAegis	Eclipsing Aegis	Eclipsing Aegis	蚀光圣盾	covered
EnchantArmorHoly	Sanctify	Sanctify	圣化	covered
EnchantEarth	Enchant Earth	Enchant Earth	大地附魔	covered
EnchantFire	Enchant Fire	Enchant Fire	火焰附魔	covered
EnchantHoly	Enchant Holy	Enchant Holy	神圣附魔	covered
EnchantPoison	Enchant Poison	Enchant Poison	剧毒附魔	covered
EnchantShadow	Enchant Shadow	Enchant Shadow	暗影附魔	covered
EnchantUndead	Enchant Undead	Enchant Undead	亡灵附魔	covered
EnchantWater	Enchant Water	Enchant Water	水附魔	covered
EnchantWind	Enchant Wind	Enchant Wind	疾风附魔	covered
EndowHoly	Endow Holy	Endow Holy	圣光灌注	covered
Endure	Endure	Endure	忍耐	covered
EnergyShield	Energy Shield	Energy Shield	能量护盾	covered
Execute	Execute	Execute	处决	covered
Exorcism	Exorcism	Exorcism	驱魔	covered
ExplosiveGrenade	Explosive Grenade	Explosive Grenade	爆炸手榴弹	covered
Fanaticism	Fanaticism	Fanaticism	狂热	covered
FanFire	Fan Fire	Fan Fire	扇形射击	covered
FanOfKnives	Fan Of Knives	Fan Of Knives	刀扇	covered
Ferocity	Ferocity	Ferocity	凶猛	covered
FieldCurse	Banishment Field	Banishment Field	放逐领域	covered
FieldDamage	Dissonance Well	Dissonance Well	失谐涌泉	covered
FieldHealing	Resonance Well	Resonance Well	共鸣涌泉	covered
FieldSilence	Suppression Field	Suppression Field	压制领域	covered
Fireball	Fireball	Fireball	火球	covered
FireBarrier	Avatar of Fire	Avatar of Fire	火焰化身	covered
Firebolt	Firebolt	Firebolt	火焰弹	covered
FireField	Flame Ground	Flame Ground	烈焰之地	covered
FirePillar	Fire Pillar	Fire Pillar	火柱	covered
FireRelease	Fire Release	Fire Release	火遁	covered
Firewall	Firewall	Firewall	火焰之墙	covered
FlameOrb	Flame Orb	Flame Orb	烈焰法球	covered
FlameOrbExplosion	Flame Explosion	Flame Explosion	烈焰爆炸	covered
FlashBang	Flash Bang	Flash Bang	闪光弹	covered
FlashGrenade	Flash Grenade	Flash Grenade	闪光榴弹	covered
FlowState	Flow State	Flow State	心流	covered
ForceShot	Force Shot	Force Shot	强力射击	covered
FreezeGrenade	Freeze Grenade	Freeze Grenade	冰冻榴弹	covered
FreezingEdge	Frost Rounds	Frost Rounds	冰霜弹药	covered
FreezingField	Blizzard	Blizzard	暴风雪	covered
FrostBlade	Binding Spiral	Binding Spiral	缚魂螺旋	covered
FrostBladeExplosion	Spiral Collapse	Spiral Collapse	螺旋塌陷	covered
Frostglass	Frostglass	Frostglass	霜晶	covered
FrozenGround	Frozen Ground	Frozen Ground	冰霜之地	covered
FuryBond	Fury Bond	Fury Bond	狂怒羁绊	covered
GainRage	Gain Rage	Gain Rage	获得怒气	covered
GameMasterCloaking	Game Master Cloaking	Game Master Cloaking	管理员隐匿	covered
Grace	Divine Grace	Divine Grace	神圣恩典	covered
GrandCross	Grand Cross	Grand Cross	大十字	covered
GraveChill	Grave Chill	Grave Chill	墓穴寒意	covered
GraveChillEnemy	Grave Chill (Enemy)	Grave Chill Enemy	墓穴寒意（敌方）	covered
GroundSlam	Earth Splitter	Earth Splitter	裂地击	covered
GuardianBond	Guardian Bond	Guardian Bond	守护者羁绊	covered
GuardianSpirit	Guardian Spirit	Guardian Spirit	守护之灵	covered
Harvest	Harvest	Harvest	收获	covered
Haste	Haste	Haste	急速	covered
HasteAll	Mass Haste	Mass Haste	群体急速	covered
Heal	Heal	Heal	治疗	covered
HealAll	Mass Heal	Mass Heal	群体治疗	covered
HighGuard	High Guard	High Guard	坚守姿态	covered
HighHeal	High Heal	High Heal	强效治疗	covered
HolyLight	Holy Light	Holy Light	圣光	covered
HolyShield	Holy Shield	Holy Shield	神圣之盾	covered
HolyWrath	Holy Wrath	Holy Wrath	神圣之怒	covered
