status	key	category	source	traditional
covered	archetype.Acolyte.name	Archetypes	Acolyte	
covered	archetype.Artificer.name	Archetypes	Artificer	
covered	archetype.Assassin.name	Archetypes	Assassin	
covered	archetype.Berserker.name	Archetypes	Berserker	
covered	archetype.Blacksmith.name	Archetypes	Blacksmith	
covered	archetype.Cardweaver.name	Archetypes	Cardweaver	
covered	archetype.Chronomancer.name	Archetypes	Chronomancer	
covered	archetype.Craftsman.name	Archetypes	Craftsman	
covered	archetype.DragonKnight.name	Archetypes	Dragon Knight	
covered	archetype.Druid.name	Archetypes	Druid	
covered	archetype.Gemsmith.name	Archetypes	Gemsmith	
covered	archetype.Gunslinger.name	Archetypes	Gunslinger	
covered	archetype.Jester.name	Archetypes	Jester	
covered	archetype.Knight.name	Archetypes	Knight	
covered	archetype.Mage.name	Archetypes	Mage	
covered	archetype.Merchant.name	Archetypes	Merchant	
covered	archetype.Monk.name	Archetypes	Monk	
covered	archetype.Necromancer.name	Archetypes	Necromancer	
covered	archetype.Paladin.name	Archetypes	Paladin	
covered	archetype.Priest.name	Archetypes	Priest	
covered	archetype.Ranger.name	Archetypes	Ranger	
covered	archetype.Revenant.name	Archetypes	Revenant	
covered	archetype.Rogue.name	Archetypes	Rogue	
covered	archetype.Scout.name	Archetypes	Scout	
covered	archetype.Shinobi.name	Archetypes	Shinobi	
covered	archetype.Stylist.name	Archetypes	Stylist	
covered	archetype.Summoner.name	Archetypes	Summoner	
covered	archetype.Warlock.name	Archetypes	Warlock	
covered	archetype.Warrior.name	Archetypes	Warrior	
covered	archetype.Weaver.name	Archetypes	Weaver	
covered	archetype.Wizard.name	Archetypes	Wizard	
covered	artifact.Acolyte.name	Artifacts	Holy Vow	
covered	artifact.Atk.name	Artifacts	Warglyph	
covered	artifact.Auto.name	Artifacts	Blitzcore	
covered	artifact.Bastion.name	Artifacts	Bastion	
covered	artifact.Berserker_1.name	Artifacts	Bloodfury	
covered	artifact.Cast.name	Artifacts	Spellweaver	
covered	artifact.Corporeal.name	Artifacts	Corporeal	
covered	artifact.Cost.name	Artifacts	Evercast	
covered	artifact.Crit.name	Artifacts	Furybrand	
covered	artifact.Def.name	Artifacts	Titanplate	
covered	artifact.Eternis.name	Artifacts	Eternis	
covered	artifact.Flee.name	Artifacts	Shadebound	
covered	artifact.Gunslinger_1.name	Artifacts	Deadeye	
covered	artifact.Healing.name	Artifacts	Lifebloom	
covered	artifact.Hexbrand.name	Artifacts	Hexbrand	
covered	artifact.Hit.name	Artifacts	Hawkeye	
covered	artifact.Hp.name	Artifacts	Vitalis	
covered	artifact.Immune.name	Artifacts	Nullmark	
covered	artifact.Knight.name	Artifacts	Honored Oath	
covered	artifact.Leech.name	Artifacts	Bloodbind	
covered	artifact.Mage.name	Artifacts	Arcane Origin	
covered	artifact.Magic.name	Artifacts	Arcanum	
covered	artifact.Matk.name	Artifacts	Starfire	
covered	artifact.Mdef.name	Artifacts	Veilward	
covered	artifact.Melee.name	Artifacts	Steelheart	
covered	artifact.Movespeed.name	Artifacts	Windborne	
covered	artifact.Mp.name	Artifacts	Aethercore	
covered	artifact.Necromancer_1.name	Artifacts	Gravebound	
covered	artifact.Novice.name	Artifacts	Pioneer	
covered	artifact.Oathbound.name	Artifacts	Oathbound	
covered	artifact.Paladin_1.name	Artifacts	Aegis Light	
covered	artifact.Priest_1.name	Artifacts	Sanctum Grace	
covered	artifact.Primordial.name	Artifacts	Primordial	
covered	artifact.Ranged.name	Artifacts	Stormquiver	
covered	artifact.Rogue.name	Artifacts	Silent Death	
covered	artifact.Scout.name	Artifacts	Far Sight	
covered	artifact.Shinobi_1.name	Artifacts	Umbral Veil	
covered	artifact.Summoner.name	Artifacts	Spirit Pact	
covered	artifact.Vampiric.name	Artifacts	Vampiric	
covered	artifact.Warrior.name	Artifacts	Iron Wake	
covered	artifact.Weaver_1.name	Artifacts	Fateweave	
covered	artifact.Wizard_1.name	Artifacts	Tempest Engine	
covered	artifact.Wizard_2.name	Artifacts	Frozen Dominion	
covered	artifact.Wizard_3.name	Artifacts	Meteoric Cataclysm	
covered	artifact.Wizard_4.name	Artifacts	Arcane Elementalist	
covered	card.Abomination.affix	Cards	Power	
covered	card.Alien Big Blink.affix	Cards	Cosmic	
covered	card.Alien Biteroot.affix	Cards	Resistance	
covered	card.Alien Cyclops.affix	Cards	Gaze	
covered	card.Alien One Eye.affix	Cards	Energy	
covered	card.Alien Plant.affix	Cards	Resistance	
covered	card.Alien Spike.affix	Cards	Spiked	
covered	card.Alien Star.affix	Cards	Sanctified	
covered	card.Alien Twinkle.affix	Cards	Blessed	
covered	card.Alien Wheel.affix	Cards	Steadfast	
covered	card.Alien Wreck.affix	Cards	Titan	
covered	card.Angel Mage.affix	Cards	Pure	
covered	card.Angel.affix	Cards	Unholy	
covered	card.Archangel.affix	Cards	Lightproof	
covered	card.Bat Lord.affix	Cards	Siphoning	
covered	card.Bat.affix	Cards	Leeching	
covered	card.Bee.affix	Cards	Energy	
covered	card.Bird.affix	Cards	Sniper	
covered	card.Bloom.affix	Cards	Status	
covered	card.Blossom.affix	Cards	Status	
covered	card.Bomb.affix	Cards	Volatile	
covered	card.Boxy Robot.affix	Cards	Carrier	
covered	card.Bud.affix	Cards	Fleet	
